filename	lemma	twcorpus	twppmi	twllr	twL	twR	socccorpus	soccppmi	soccllr	soccL	soccR	sample	tokenL	tokenR	stress
Semcor.ppmi0.ll0.Semcor.ppmi2.ll1	church	Semcor	0	0	10	10	Semcor	2	1	10	10	292	10	10	0.29911883030184
Semcor.ppmi0.ll1.COHA.ppmi0.ll0	church	Semcor	0	1	10	10	COHA	0	0	10	10	292	10	10	0.247091328335065
Semcor.ppmi0.ll1.COHA.ppmi0.ll1	church	Semcor	0	1	10	10	COHA	0	1	10	10	292	10	10	0.251145753350464
Semcor.ppmi0.ll1.COHA.ppmi1.ll0	church	Semcor	0	1	10	10	COHA	1	0	10	10	292	10	10	0.248894554284787
Semcor.ppmi0.ll1.COHA.ppmi1.ll1	church	Semcor	0	1	10	10	COHA	1	1	10	10	292	10	10	0.249251799349252
Semcor.ppmi0.ll1.COHA.ppmi2.ll0	church	Semcor	0	1	10	10	COHA	2	0	10	10	292	10	10	0.256365134398558
Semcor.ppmi0.ll1.COHA.ppmi2.ll1	church	Semcor	0	1	10	10	COHA	2	1	10	10	292	10	10	0.256538314805819
Semcor.ppmi0.ll1.Semcor.ppmi0.ll0	church	Semcor	0	1	10	10	Semcor	0	0	10	10	292	10	10	0.274905666930815
Semcor.ppmi0.ll1.Semcor.ppmi0.ll1	church	Semcor	0	1	10	10	Semcor	0	1	10	10	292	10	10	0.279982141406544
Semcor.ppmi0.ll1.Semcor.ppmi1.ll0	church	Semcor	0	1	10	10	Semcor	1	0	10	10	292	10	10	0.282616816418954
Semcor.ppmi0.ll1.Semcor.ppmi1.ll1	church	Semcor	0	1	10	10	Semcor	1	1	10	10	292	10	10	0.282616816418954
Semcor.ppmi0.ll1.Semcor.ppmi2.ll0	church	Semcor	0	1	10	10	Semcor	2	0	10	10	292	10	10	0.301844222850736
Semcor.ppmi0.ll1.Semcor.ppmi2.ll1	church	Semcor	0	1	10	10	Semcor	2	1	10	10	292	10	10	0.300183976266746
Semcor.ppmi1.ll0.COHA.ppmi0.ll0	church	Semcor	1	0	10	10	COHA	0	0	10	10	291	10	10	0.229406382090164
Semcor.ppmi1.ll0.COHA.ppmi0.ll1	church	Semcor	1	0	10	10	COHA	0	1	10	10	291	10	10	0.238288876047254
Semcor.ppmi1.ll0.COHA.ppmi1.ll0	church	Semcor	1	0	10	10	COHA	1	0	10	10	291	10	10	0.241433405691776
Semcor.ppmi1.ll0.COHA.ppmi1.ll1	church	Semcor	1	0	10	10	COHA	1	1	10	10	291	10	10	0.240791053194955
Semcor.ppmi1.ll0.COHA.ppmi2.ll0	church	Semcor	1	0	10	10	COHA	2	0	10	10	291	10	10	0.263563426479791
Semcor.ppmi1.ll0.COHA.ppmi2.ll1	church	Semcor	1	0	10	10	COHA	2	1	10	10	291	10	10	0.263493853197712
Semcor.ppmi1.ll0.Semcor.ppmi0.ll0	church	Semcor	1	0	10	10	Semcor	0	0	10	10	291	10	10	0.269437967374534
Semcor.ppmi1.ll0.Semcor.ppmi0.ll1	church	Semcor	1	0	10	10	Semcor	0	1	10	10	291	10	10	0.27488321786958
Semcor.ppmi1.ll0.Semcor.ppmi1.ll0	church	Semcor	1	0	10	10	Semcor	1	0	10	10	291	10	10	0.274607249550624
Semcor.ppmi1.ll0.Semcor.ppmi1.ll1	church	Semcor	1	0	10	10	Semcor	1	1	10	10	291	10	10	0.275209015857979
Semcor.ppmi1.ll0.Semcor.ppmi2.ll0	church	Semcor	1	0	10	10	Semcor	2	0	10	10	291	10	10	0.293918732848675
Semcor.ppmi1.ll0.Semcor.ppmi2.ll1	church	Semcor	1	0	10	10	Semcor	2	1	10	10	291	10	10	0.295073837866194
Semcor.ppmi1.ll1.COHA.ppmi0.ll0	church	Semcor	1	1	10	10	COHA	0	0	10	10	291	10	10	0.235509879873672
Semcor.ppmi1.ll1.COHA.ppmi0.ll1	church	Semcor	1	1	10	10	COHA	0	1	10	10	291	10	10	0.24308354758286
Semcor.ppmi1.ll1.COHA.ppmi1.ll0	church	Semcor	1	1	10	10	COHA	1	0	10	10	291	10	10	0.247833557195774
Semcor.ppmi1.ll1.COHA.ppmi1.ll1	church	Semcor	1	1	10	10	COHA	1	1	10	10	291	10	10	0.246315659371468
Semcor.ppmi1.ll1.COHA.ppmi2.ll0	church	Semcor	1	1	10	10	COHA	2	0	10	10	291	10	10	0.267841600216793
Semcor.ppmi1.ll1.COHA.ppmi2.ll1	church	Semcor	1	1	10	10	COHA	2	1	10	10	291	10	10	0.26783002994013
Semcor.ppmi1.ll1.Semcor.ppmi0.ll0	church	Semcor	1	1	10	10	Semcor	0	0	10	10	291	10	10	0.274528658988513
Semcor.ppmi1.ll1.Semcor.ppmi0.ll1	church	Semcor	1	1	10	10	Semcor	0	1	10	10	291	10	10	0.280752366666735
Semcor.ppmi1.ll1.Semcor.ppmi1.ll0	church	Semcor	1	1	10	10	Semcor	1	0	10	10	291	10	10	0.281583842365683
Semcor.ppmi1.ll1.Semcor.ppmi1.ll1	church	Semcor	1	1	10	10	Semcor	1	1	10	10	291	10	10	0.280016599556213
Semcor.ppmi1.ll1.Semcor.ppmi2.ll0	church	Semcor	1	1	10	10	Semcor	2	0	10	10	291	10	10	0.298904110893755
Semcor.ppmi1.ll1.Semcor.ppmi2.ll1	church	Semcor	1	1	10	10	Semcor	2	1	10	10	291	10	10	0.298904110893755
Semcor.ppmi2_5.ll0.COHA.ppmi0.ll0	church	Semcor	2_5	0	10	10	COHA	0	0	10	10	276	10	10	0.276382568636695
Semcor.ppmi2_5.ll0.COHA.ppmi0.ll1	church	Semcor	2_5	0	10	10	COHA	0	1	10	10	276	10	10	0.281642477338846
Semcor.ppmi2_5.ll0.COHA.ppmi1.ll0	church	Semcor	2_5	0	10	10	COHA	1	0	10	10	276	10	10	0.282369233602989
Semcor.ppmi2_5.ll0.COHA.ppmi1.ll1	church	Semcor	2_5	0	10	10	COHA	1	1	10	10	276	10	10	0.282405426382838
Semcor.ppmi2_5.ll0.COHA.ppmi2.ll0	church	Semcor	2_5	0	10	10	COHA	2	0	10	10	276	10	10	0.294437516770384
Semcor.ppmi2_5.ll0.COHA.ppmi2.ll1	church	Semcor	2_5	0	10	10	COHA	2	1	10	10	276	10	10	0.2940819814181
Semcor.ppmi2_5.ll0.Semcor.ppmi0.ll0	church	Semcor	2_5	0	10	10	Semcor	0	0	10	10	276	10	10	0.295786050709594
Semcor.ppmi2_5.ll0.Semcor.ppmi0.ll1	church	Semcor	2_5	0	10	10	Semcor	0	1	10	10	276	10	10	0.292852825277514
Semcor.ppmi2_5.ll0.Semcor.ppmi1.ll0	church	Semcor	2_5	0	10	10	Semcor	1	0	10	10	276	10	10	0.291740569819381
Semcor.ppmi2_5.ll0.Semcor.ppmi1.ll1	church	Semcor	2_5	0	10	10	Semcor	1	1	10	10	276	10	10	0.291740569819381
Semcor.ppmi2_5.ll0.Semcor.ppmi2.ll0	church	Semcor	2_5	0	10	10	Semcor	2	0	10	10	276	10	10	0.290591912824532
Semcor.ppmi2_5.ll0.Semcor.ppmi2.ll1	church	Semcor	2_5	0	10	10	Semcor	2	1	10	10	276	10	10	0.290402199775224
Semcor.ppmi2_5.ll1.COHA.ppmi0.ll0	church	Semcor	2_5	1	10	10	COHA	0	0	10	10	276	10	10	0.276635222112054
Semcor.ppmi2_5.ll1.COHA.ppmi0.ll1	church	Semcor	2_5	1	10	10	COHA	0	1	10	10	276	10	10	0.282724851944043
Semcor.ppmi2_5.ll1.COHA.ppmi1.ll0	church	Semcor	2_5	1	10	10	COHA	1	0	10	10	276	10	10	0.282007223305249
Semcor.ppmi2_5.ll1.COHA.ppmi1.ll1	church	Semcor	2_5	1	10	10	COHA	1	1	10	10	276	10	10	0.282333464281344
Semcor.ppmi2_5.ll1.COHA.ppmi2.ll0	church	Semcor	2_5	1	10	10	COHA	2	0	10	10	276	10	10	0.294097118693814
Semcor.ppmi2_5.ll1.COHA.ppmi2.ll1	church	Semcor	2_5	1	10	10	COHA	2	1	10	10	276	10	10	0.294059568125899
Semcor.ppmi2_5.ll1.Semcor.ppmi0.ll0	church	Semcor	2_5	1	10	10	Semcor	0	0	10	10	276	10	10	0.295928081868254
Semcor.ppmi2_5.ll1.Semcor.ppmi0.ll1	church	Semcor	2_5	1	10	10	Semcor	0	1	10	10	276	10	10	0.292529154544455
Semcor.ppmi2_5.ll1.Semcor.ppmi1.ll0	church	Semcor	2_5	1	10	10	Semcor	1	0	10	10	276	10	10	0.290892127982668
Semcor.ppmi2_5.ll1.Semcor.ppmi1.ll1	church	Semcor	2_5	1	10	10	Semcor	1	1	10	10	276	10	10	0.291740569819381
