_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hoekig.foc5.all.selection.bound.min1.soc10.all.5000	0.02527653836515989	0.25951799819815213	bound	all	5_5	selection	650	1	5000	5000	all	10_10	275	hoekig	0.253794646636222
hoekig.foc5.all.selection.bound.min1.soc10.all.10000	0.014721060914045318	0.26170868551345966	bound	all	5_5	selection	650	1	10000	10000	all	10_10	275	hoekig	0.24683790401083047
hoekig.foc5.all.selection.bound.min1.soc10.all.FOC	-4.079816288948361e-4	0.2484026986996726	bound	all	5_5	selection	650	1	FOC	650	all	10_10	275	hoekig	0.22623937506555325
hoekig.foc5.all.no.bound.min1.soc4.nav.5000	0.07568276066190982	0.38345791602700197	bound	all	5_5	no	650	1	5000	5000	nav	4_4	275	hoekig	0.2558626473763844
hoekig.foc5.all.no.bound.min1.soc4.nav.10000	0.09752131922467198	0.4123947520375891	bound	all	5_5	no	650	1	10000	10000	nav	4_4	275	hoekig	0.2462376598850819
hoekig.foc5.all.no.bound.min1.soc4.nav.FOC	0.06565075565541081	0.33296381092849087	bound	all	5_5	no	650	1	FOC	650	nav	4_4	275	hoekig	0.2359603764015042
hoekig.foc5.all.no.bound.min1.soc10.nav.5000	0.0167750984392442	0.2544432577879422	bound	all	5_5	no	650	1	5000	5000	nav	10_10	275	hoekig	0.24790912208470856
hoekig.foc5.all.no.bound.min1.soc10.nav.10000	0.020765296639558537	0.2781654291339716	bound	all	5_5	no	650	1	10000	10000	nav	10_10	275	hoekig	0.23980713889309718
hoekig.foc5.all.no.bound.min1.soc10.nav.FOC	-4.0798162889541775e-4	0.2484026986996704	bound	all	5_5	no	650	1	FOC	650	nav	10_10	275	hoekig	0.22623937506555325
hoekig.foc5.all.no.bound.min1.soc4.all.5000	0.07093712082724157	0.38547730395446717	bound	all	5_5	no	650	1	5000	5000	all	4_4	275	hoekig	0.26009846571786704
hoekig.foc5.all.no.bound.min1.soc4.all.10000	0.07826051504293656	0.3939765042607054	bound	all	5_5	no	650	1	10000	10000	all	4_4	275	hoekig	0.25254546683848256
hoekig.foc5.all.no.bound.min1.soc4.all.FOC	0.06565075561458851	0.3329638107932566	bound	all	5_5	no	650	1	FOC	650	all	4_4	275	hoekig	0.2359603764015042
