	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
hoopvol/adj/nrc_handelsblad_20011108_40/61/L0	hoopvol/adj/nrc_handelsblad_20011108_40/61	L0	ben	verb	ben/verb	ben	True	L	1	0.33943477	9938754.0	1938.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/L1	hoopvol/adj/nrc_handelsblad_20011108_40/61	L1	ik	pron	ik/pron	Ik	True	L	2	0.27286866	2577275.0	472.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/L2	hoopvol/adj/nrc_handelsblad_20011108_40/61	L2	""""	punct	"""/punct"	""""	True	L	3			
hoopvol/adj/nrc_handelsblad_20011108_40/61/L3	hoopvol/adj/nrc_handelsblad_20011108_40/61	L3	sentence_delimiter	none	none	<sentence>	none	L	4			
hoopvol/adj/nrc_handelsblad_20011108_40/61/L4	hoopvol/adj/nrc_handelsblad_20011108_40/61	L4	sentence_delimiter	none	none	</sentence>	none	L	5			
hoopvol/adj/nrc_handelsblad_20011108_40/61/L5	hoopvol/adj/nrc_handelsblad_20011108_40/61	L5	.	punct	./punct	.	False	L	6			
hoopvol/adj/nrc_handelsblad_20011108_40/61/L6	hoopvol/adj/nrc_handelsblad_20011108_40/61	L6	blijk	verb	blijk/verb	blijkt	False	L	7	-0.08112513	279801.0	36.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/L7	hoopvol/adj/nrc_handelsblad_20011108_40/61	L7	bacterie	noun	bacterie/noun	bacterie	False	L	8			
hoopvol/adj/nrc_handelsblad_20011108_40/61/L8	hoopvol/adj/nrc_handelsblad_20011108_40/61	L8	dodelijk	adj	dodelijk/adj	dodelijke	False	L	9			
hoopvol/adj/nrc_handelsblad_20011108_40/61/L9	hoopvol/adj/nrc_handelsblad_20011108_40/61	L9	de	det	de/det	de	False	L	10	0.020179255	28074105.0	3976.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/L10	hoopvol/adj/nrc_handelsblad_20011108_40/61	L10	met	prep	met/prep	met	False	L	11	-0.18007767	4230163.0	491.0
