_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
herroepen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.16223479687986891	-0.054435942875348246	NA	NA	BOW	nobound	384	lex	5_5	1	weight	5000	5000	all	4_4	234	herroepen	0.2717894971334276
herroepen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.16502595779835774	-0.028516860128566548	NA	NA	BOW	nobound	384	lex	5_5	1	weight	FOC	282	nav	4_4	234	herroepen	0.25185831361788835
herroepen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.15415206123491584	-0.02850948130935235	NA	NA	BOW	nobound	384	lex	5_5	1	weight	FOC	384	all	4_4	234	herroepen	0.25344012826359225
herroepen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.14319380882778096	0.05344762307218262	NA	NA	BOW	nobound	384	lex	5_5	1	selection	5000	5000	nav	4_4	234	herroepen	0.2630384229541608
herroepen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.18665340118394386	0.03337015555035312	NA	NA	BOW	nobound	384	lex	5_5	1	selection	5000	5000	all	4_4	234	herroepen	0.2825506892703149
herroepen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.14085039904666738	0.02392258699719099	NA	NA	BOW	nobound	384	lex	5_5	1	selection	FOC	282	nav	4_4	234	herroepen	0.2555906255758512
herroepen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1274948460671497	0.024299696916057437	NA	NA	BOW	nobound	384	lex	5_5	1	selection	FOC	384	all	4_4	234	herroepen	0.2596918374223216
herroepen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.19095818076890386	0.0761880768104753	NA	NA	BOW	nobound	525	lex	5_5	1	no	5000	5000	nav	4_4	235	herroepen	0.2748832366517445
herroepen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.24249999233675384	0.07009697522358349	NA	NA	BOW	nobound	525	lex	5_5	1	no	5000	5000	all	4_4	235	herroepen	0.28691642746933155
herroepen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.11437269980593415	0.04491377502358177	NA	NA	BOW	nobound	525	lex	5_5	1	no	FOC	377	nav	4_4	235	herroepen	0.265219602299185
herroepen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.10784726043789347	0.042878093917177285	NA	NA	BOW	nobound	525	lex	5_5	1	no	FOC	525	all	4_4	235	herroepen	0.2627136319504757
herroepen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.10779410034926931	-0.015169253487058975	NA	NA	BOW	nobound	519	all	5_5	1	weight	5000	5000	nav	4_4	236	herroepen	0.25473606689192513
herroepen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.15270721003943374	-0.07249873678357384	NA	NA	BOW	nobound	519	all	5_5	1	weight	5000	5000	all	4_4	236	herroepen	0.2769010487834788
herroepen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.13417132193171905	-0.03132813541250872	NA	NA	BOW	nobound	519	all	5_5	1	weight	FOC	282	nav	4_4	236	herroepen	0.25003722879085105
herroepen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.12428698425975929	-0.03109593090992412	NA	NA	BOW	nobound	519	all	5_5	1	weight	FOC	519	all	4_4	236	herroepen	0.2516468165962171
herroepen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.15667278148538494	0.1913433550755765	NA	NA	BOW	nobound	519	all	5_5	1	selection	5000	5000	nav	4_4	236	herroepen	0.2528533080502325
herroepen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.13829181602155177	0.21601093194975896	NA	NA	BOW	nobound	519	all	5_5	1	selection	5000	5000	all	4_4	236	herroepen	0.28092746260809587
herroepen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06539679745960025	0.10678032850897211	NA	NA	BOW	nobound	519	all	5_5	1	selection	FOC	282	nav	4_4	236	herroepen	0.2606879782959969
herroepen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.0729060341265639	0.10591930171219129	NA	NA	BOW	nobound	519	all	5_5	1	selection	FOC	519	all	4_4	236	herroepen	0.2635873685559048
herroepen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.2380312694039742	0.2064702705780664	NA	NA	BOW	nobound	743	all	5_5	1	no	5000	5000	nav	4_4	236	herroepen	0.2631765184653369
herroepen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.2876248096077632	0.30274614091418234	NA	NA	BOW	nobound	743	all	5_5	1	no	5000	5000	all	4_4	236	herroepen	0.2719935163532903
