LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	NA	herinneren.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	nobound	758	all	5_5	1	no	FOC	380	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	BOW	nobound	758	all	5_5	1	no	FOC	758	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	nobound	142	lex	3_3	1	weight	5000	5000	nav	4_4	174	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	nobound	142	lex	3_3	1	weight	5000	5000	all	4_4	174	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	nobound	142	lex	3_3	1	weight	FOC	97	nav	4_4	174	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	nobound	142	lex	3_3	1	weight	FOC	142	all	4_4	174	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	nobound	142	lex	3_3	1	selection	5000	5000	nav	4_4	174	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	nobound	142	lex	3_3	1	selection	5000	5000	all	4_4	174	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	nobound	142	lex	3_3	1	selection	FOC	97	nav	4_4	174	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	nobound	142	lex	3_3	1	selection	FOC	142	all	4_4	174	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	nobound	276	lex	3_3	1	no	5000	5000	nav	4_4	220	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	BOW	nobound	276	lex	3_3	1	no	5000	5000	all	4_4	220	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	nobound	276	lex	3_3	1	no	FOC	202	nav	4_4	220	herinneren	NA
NA	NA	herinneren.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	nobound	276	lex	3_3	1	no	FOC	276	all	4_4	220	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	nobound	245	all	3_3	1	weight	5000	5000	nav	4_4	239	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	BOW	nobound	245	all	3_3	1	weight	5000	5000	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	nobound	245	all	3_3	1	weight	FOC	97	nav	4_4	239	herinneren	NA
